hotel_name,hotel_cityname,hotel_countryname,hotel_starrating,hotel_price,hotel_amenities,hotel_description
"Hotel Vrindavan, Nigdi, Pune",Pune,India,4.0,"1,210","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Nigdi View On Map ( Behind Bhakti Shakti Garden, Opposite Shri Krishna Temple, Nigdi, PUNE - 411 044. ). It’s a 3 Star Hotel with overall Rating 4 Out of 5 where 4.1 /5 for Cleanliness & 4.1 /5 for Value for Money & 4 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Ginger Pune (Pimpri),Pune,India,4.0,"1,713","Doctor on Call,Free Wi-Fi,Restaurant","This 3 Star Hotel in Pune is located in Pimpri . Full Address of property is Opp PCMC Office Pimpri Chowk, Kohinoor Trading Company Premises, Pimpri-Chinchwad, Pune (View On Map). This Hotel have 4 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.2 /5 for Location & 4.2 /5 for Security . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
"Lemon Tree Hotel, Viman Nagar, Pune",Pune,India,4.3,"2,354","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Viman Nagar View On Map ( 100-101, Viman Nagar, Sakore Nagar Road, Pune ). It’s a 4 Star Hotel with overall Rating 4.3 Out of 5 where 4.4 /5 for Cleanliness & 4.8 /5 for Safety & 4.3 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
Oakwood Residence Naylor Road Pune,Pune,India,4.5,"4,013","Doctor on Call,Kitchenette,Living Room","This 4 Star Apartment in Pune is located in Sangamvadi . Full Address of property is 1-C-Naylor Road, off Mangaldas Road, Pune (View On Map). This Apartment have 4.5 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.7 /5 for Room & 4.6 /5 for Location . Key amenities of this property are Doctor on Call & Kitchenette & Living Room ."
Kshitij - An Apartment Hotel,Pune,India,4.2,"2,383","Kitchenette,Caretaker,Power Backup","Location of the Apartment is Baner View On Map ( 35, Plt no. 6, 3rd floor, Mumbai Bangalore bypass road, near Renault showroom, Baner Pune. ). It’s a 3 Star Apartment with overall Rating 4.2 Out of 5 where 4.2 /5 for Cleanliness & 4.5 /5 for Security & 4.5 /5 for Hospitality . Top Facilities of this Apartment are Kitchenette & Caretaker & Power Backup ."
Ginger Pune Wakad,Pune,India,3.9,"1,599","Doctor on Call,Restaurant,Conference Room","This 3 Star Hotel in Pune is located in Pimpri-Chinchwad . Full Address of property is Kala Khadak, Wakad Naka, Wakad, Pune (View On Map). This Hotel have 3.9 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.2 /5 for Location & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Restaurant & Conference Room ."
Vosiv Suites by Magnus Service Apartements,Pune,India,3.6,"1,373","Doctor on Call,Kitchenette,Caretaker","Location of the Apartment is New Kalyani Nagar View On Map ( Lizzie Villa , lane no 4, Behind Bank Of Baroda, Near Lexicon International School, Kalyaninagar ). Top Facilities of this Apartment are Doctor on Call & Kitchenette & Caretaker ."
Hotel Kalasagar,Pune,India,3.8,"2,438","Doctor on Call,Free Wi-Fi,Restaurant","This 3 Star Hotel in Pune is located in Pimpri . Full Address of property is P-4 plot, MIDC Old Mumbai Pune Road, Pimpri (View On Map). This Hotel have 3.8 Out of 5 Rating where 3.8 /5 for Cleanliness & 4.1 /5 for Location & 3.9 /5 for Security . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
Kyriad Hotel Chinchwad by OTHPL,Pune,India,4.3,"2,067","Restaurant,Conference Room,Room Service","Location of the Hotel is Pimpri-Chinchwad View On Map ( P-118,D-1 BLOCK,MIDC, CHINCHWAD ). It’s a 4 Star Hotel with overall Rating 4.3 Out of 5 where 4.4 /5 for Cleanliness & 4.3 /5 for Room & 4.2 /5 for Hospitality . Top Facilities of this Hotel are Restaurant & Conference Room & Room Service ."
Easystayy-1 Free Pickup / Drop,Pune,India,4.0,"1,106","Doctor on Call,Free Wi-Fi,Power Backup","Full Address of property is Plot number 06, Behind bajaj finsarv, 1/2 Park land Society, Near airport Viman Nagar, Pune (View On Map). This Apartment have 4 Out of 5 Rating where 4.2 /5 for Cleanliness & 4.7 /5 for Safety & 4.5 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Power Backup ."
